CTUID,DGUID,CTNAME,LANDAREA,PRUID,CMA_Name,CT_Name,Total_Commuters,Car_Drivers,Median_Income,Pct_Car_Commute,Distance_to_Transit_m,Dist_KM,local_I,local_p,lisa_quad,local_p_fdr,lisa_sig_fdr,lisa_cluster,sig_label,centroid_x,centroid_y
5370212.00,2021S05075370212.00,0212.00,0.5045,35,Hamilton,212.0,490.0,390.0,95000.0,79.59183673469387,857.1693068219773,0.8571693068219773,0.21148939098896877,0.269,1,0.31095412844036696,False,Not Significant,Not significant,596984.5210820057,4798662.616798779
5370213.00,2021S05075370213.00,0213.00,0.8012,35,Hamilton,213.0,1235.0,970.0,81000.0,78.54251012145748,1714.8311908018964,1.7148311908018963,0.26259592084518235,0.187,1,0.23194749794913866,False,Not Significant,Not significant,597625.1061561216,4798068.998189253
5370214.00,2021S05075370214.00,0214.00,1.0751,35,Hamilton,214.0,720.0,530.0,92000.0,73.61111111111111,1272.2218259544632,1.272221825954463,0.18119703493127762,0.039,1,0.07738582677165355,False,Not Significant,Not significant,597769.8194204429,4799091.064161196
5370215.00,2021S05075370215.00,0215.00,0.7353,35,Hamilton,215.0,900.0,750.0,86000.0,83.33333333333334,2144.877305886894,2.144877305886894,0.5141205134779362,0.114,1,0.16139325842696628,False,Not Significant,Not significant,598473.6043505467,4798476.776303473
5370216.00,2021S05075370216.00,0216.00,2.1873,35,Hamilton,216.0,1145.0,965.0,180000.0,84.27947598253274,2962.8671849970247,2.9628671849970245,0.5765471825686637,0.055,1,0.09888228299643283,False,Not Significant,Not significant,599491.6232511892,4799561.024969845
5370218.00,2021S05075370218.00,0218.00,4.3737,35,Hamilton,218.0,2180.0,1665.0,114000.0,76.37614678899082,1629.0560791353682,1.6290560791353683,0.3692491131600894,0.004,1,0.01566839378238342,True,High-High,FDR-significant,599588.5428257716,4802295.067513012
5370219.00,2021S05075370219.00,0219.00,2.3846,35,Hamilton,219.0,1230.0,985.0,180000.0,80.08130081300813,2599.53840048471,2.59953840048471,0.4690096850505718,0.032,1,0.06673655172413794,False,Not Significant,Not significant,600786.2256474227,4801154.358056435
5370220.00,2021S05075370220.00,0220.00,1.8047,35,Hamilton,220.0,1575.0,1220.0,93000.0,77.46031746031747,2338.0284624234505,2.3380284624234506,0.35921051775347645,0.11,1,0.15720226843100188,False,Not Significant,Not significant,602380.9220601489,4802518.901547825
5370221.00,2021S05075370221.00,0221.00,1.1421,35,Hamilton,221.0,985.0,805.0,127000.0,81.7258883248731,1617.7684673256742,1.6177684673256743,0.4775305042482471,0.054,1,0.09754838709677419,False,Not Significant,Not significant,601794.4771452721,4802943.831743908
5350528.49,2021S05075350528.49,0528.49,1.7446,35,Toronto,528.49,1500.0,1175.0,157000.0,78.33333333333333,2608.954364579422,2.608954364579422,0.27381579425149,0.12,1,0.16799999999999998,False,Not Significant,Not significant,602216.0420567878,4831876.564140819
5350562.12,2021S05075350562.12,0562.12,0.9134,35,Toronto,562.12,2285.0,1525.0,73500.0,66.73960612691467,3192.9307811588455,3.1929307811588457,-0.016132314796527387,0.42,2,0.4406939625260236,False,Not Significant,Not significant,602317.3770764245,4840207.265994792
5350562.13,2021S05075350562.13,0562.13,5.9595,35,Toronto,562.13,500.0,355.0,100000.0,71.0,1745.370804615365,1.7453708046153649,-0.01612303148207262,0.342,4,0.37634934497816597,False,Not Significant,Not significant,604208.7634595855,4838331.703276365
5350562.14,2021S05075350562.14,0562.14,0.9873,35,Toronto,562.14,1405.0,1130.0,126000.0,80.42704626334519,4614.4830277809215,4.6144830277809215,0.41940663457631044,0.039,1,0.07738582677165355,False,Not Significant,Not significant,600602.3874052056,4842362.0901614
5350430.06,2021S05075350430.06,0430.06,2.051,35,Toronto,430.06,2010.0,1650.0,134000.0,82.08955223880598,1570.9455325925032,1.5709455325925032,0.6767024655821934,0.019,1,0.04717241379310345,True,High-High,FDR-significant,641489.3528914597,4869180.619065301
5350430.07,2021S05075350430.07,0430.07,9.577,35,Toronto,430.07,3040.0,2620.0,113000.0,86.18421052631578,2010.6672744582688,2.0106672744582688,1.0915207308084667,0.001,1,0.006222222222222222,True,High-High,FDR-significant,638370.4641210977,4870524.411384602
5350562.15,2021S05075350562.15,0562.15,0.9691,35,Toronto,562.15,1310.0,1080.0,112000.0,82.44274809160305,4040.107633284421,4.040107633284421,0.4637531110838545,0.099,1,0.14660920666013713,False,Not Significant,Not significant,600199.8270392652,4841851.004605143
5350572.09,2021S05075350572.09,0572.09,1.6832,35,Toronto,572.09,1755.0,1395.0,121000.0,79.48717948717949,2331.1276898659576,2.3311276898659576,0.2596346345128446,0.139,1,0.18748260481712758,False,Not Significant,Not significant,599290.4802928298,4835545.009797695
5350572.10,2021S05075350572.10,0572.10,0.4841,35,Toronto,572.1,1595.0,1270.0,114000.0,79.62382445141067,2824.273124388272,2.8242731243882724,0.4089582096543584,0.09,1,0.13676381909547738,False,Not Significant,Not significant,598915.6085220482,4835118.758052804
5350573.10,2021S05075350573.10,0573.10,0.8043,35,Toronto,573.1,1040.0,855.0,125000.0,82.21153846153845,2554.340127447137,2.554340127447137,0.3234743039107383,0.144,1,0.19183083700440526,False,Not Significant,Not significant,597091.9611581713,4838146.6699161595
5350573.11,2021S05075350573.11,0573.11,0.6804,35,Toronto,573.11,1990.0,1515.0,121000.0,76.13065326633166,2117.8585311124743,2.1178585311124745,0.2504103955373047,0.068,1,0.11236721311475412,False,Not Significant,Not significant,596660.1664001247,4837679.4025615025
5350576.31,2021S05075350576.31,0576.31,1.5785,35,Toronto,576.31,1275.0,1065.0,139000.0,83.52941176470588,6558.140517364155,6.558140517364155,0.8125029256275771,0.002,1,0.009362229102167182,True,High-High,FDR-significant,594761.616660915,4843022.100255306
5350576.33,2021S05075350576.33,0576.33,0.7553,35,Toronto,576.33,880.0,690.0,125000.0,78.4090909090909,5313.610548248556,5.3136105482485565,0.4048434309789678,0.027,1,0.060301329394387,False,Not Significant,Not significant,596184.182924933,4841896.9497836465
5350576.34,2021S05075350576.34,0576.34,1.7883,35,Toronto,576.34,2425.0,1950.0,117000.0,80.41237113402062,4645.343581718489,4.645343581718489,0.4563568540146996,0.016,1,0.04149571183533448,True,High-High,FDR-significant,595563.794952624,4841067.1075018905
5350576.43,2021S05075350576.43,0576.43,1.4018,35,Toronto,576.43,2515.0,1895.0,122000.0,75.3479125248509,2844.0585057578373,2.8440585057578374,0.21370688338978908,0.055,1,0.09888228299643283,False,Not Significant,Not significant,595974.4429335599,4839109.093902524
5350576.44,2021S05075350576.44,0576.44,0.8737,35,Toronto,576.44,1065.0,865.0,130000.0,81.2206572769953,2124.3905692517665,2.1243905692517666,0.36156407473182317,0.073,1,0.11742127659574467,False,Not Significant,Not significant,595714.7744227316,4838437.863071639
5350012.01,2021S05075350012.01,0012.01,0.4305,35,Toronto,12.01,3295.0,1175.0,84000.0,35.66009104704097,305.0654237031891,0.30506542370318906,4.839148016070143,0.001,3,0.006222222222222222,True,Low-Low,FDR-significant,629338.9608090341,4833002.007556449
5350034.01,2021S05075350034.01,0034.01,0.1245,35,Toronto,34.01,1180.0,245.0,62400.0,20.76271186440678,305.4159350525752,0.3054159350525752,9.228748261240588,0.001,3,0.006222222222222222,True,Low-Low,FDR-significant,630662.7899657679,4835471.33120852
5350034.02,2021S05075350034.02,0034.02,0.3982,35,Toronto,34.02,2005.0,435.0,61600.0,21.695760598503743,265.68607477471585,0.26568607477471584,8.564395763451772,0.001,3,0.006222222222222222,True,Low-Low,FDR-significant,630821.7025657591,4834992.972150442
5350299.01,2021S05075350299.01,0299.01,2.8825,35,Toronto,299.01,1670.0,965.0,119000.0,57.784431137724546,952.0233505942236,0.9520233505942236,0.5428340237775706,0.013,3,0.036265682656826566,True,Low-Low,FDR-significant,627011.2890636511,4846306.877469265
5350299.02,2021S05075350299.02,0299.02,0.1593,35,Toronto,299.02,1120.0,535.0,78500.0,47.767857142857146,261.5128970382442,0.2615128970382442,1.4462581385709565,0.022,3,0.052137931034482755,False,Not Significant,Not significant,627760.4216265652,4846825.7847484425
5350305.03,2021S05075350305.03,0305.03,0.7113,35,Toronto,305.03,1220.0,710.0,86000.0,58.19672131147541,576.9900827723968,0.5769900827723968,0.2262292457372112,0.22,3,0.26316455696202534,False,Not Significant,Not significant,630120.5304343569,4847736.879818977
5350307.03,2021S05075350307.03,0307.03,0.1101,35,Toronto,307.03,1105.0,530.0,69000.0,47.963800904977376,194.47339589478017,0.19447339589478016,1.3861378519698317,0.017,3,0.04378875638841567,True,Low-Low,FDR-significant,627790.497612146,4847612.912401181
5350307.04,2021S05075350307.04,0307.04,0.153,35,Toronto,307.04,1570.0,730.0,79000.0,46.496815286624205,359.69584063169896,0.35969584063169896,1.6177811170683476,0.014,3,0.038071942446043165,True,Low-Low,FDR-significant,627956.0761392093,4846970.246353007
5350307.05,2021S05075350307.05,0307.05,0.1046,35,Toronto,307.05,1070.0,505.0,68000.0,47.19626168224299,223.50421795575485,0.22350421795575484,1.480068730067149,0.009,3,0.02811570247933884,True,Low-Low,FDR-significant,627677.2412727104,4848496.785079784
5350307.06,2021S05075350307.06,0307.06,0.1042,35,Toronto,307.06,1180.0,660.0,76000.0,55.932203389830505,531.1660523667739,0.5311660523667739,0.997320203689439,0.014,3,0.038071942446043165,True,Low-Low,FDR-significant,627762.8542145885,4848171.305619409
5350307.07,2021S05075350307.07,0307.07,1.2246,35,Toronto,307.07,1430.0,800.0,90000.0,55.94405594405595,552.3471232451122,0.5523471232451123,0.7843479588363493,0.006,3,0.020712328767123287,True,Low-Low,FDR-significant,628229.350151672,4847694.140310108
5350368.01,2021S05075350368.01,0368.01,0.8885,35,Toronto,368.01,1810.0,1010.0,65000.0,55.80110497237569,137.91844086258965,0.13791844086258964,0.3579940889065788,0.13,3,0.17901639344262296,False,Not Significant,Not significant,640194.9210003725,4848434.745333141
5350368.02,2021S05075350368.02,0368.02,1.5627,35,Toronto,368.02,1170.0,760.0,75500.0,64.95726495726495,1028.8282793438634,1.0288282793438634,0.17209079717646006,0.054,3,0.09754838709677419,False,Not Significant,Not significant,640599.9941148731,4847007.86995808
5370002.06,2021S05075370002.06,0002.06,2.6725,35,Hamilton,2.06,1040.0,910.0,82000.0,87.5,5823.002523299194,5.823002523299194,0.9957436503929581,0.003,1,0.01249586776859504,True,High-High,FDR-significant,589183.5799198922,4784340.735586498
5370080.06,2021S05075370080.06,0080.06,2.1507,35,Hamilton,80.06,1810.0,1545.0,111000.0,85.35911602209944,4766.613213596929,4.766613213596929,0.90776638850975,0.011,1,0.03261176470588235,True,High-High,FDR-significant,597528.8511961775,4782778.318180301
5370080.07,2021S05075370080.07,0080.07,1.4239,35,Hamilton,80.07,1695.0,1455.0,120000.0,85.84070796460178,4595.01873195219,4.59501873195219,1.0936892394407185,0.002,1,0.009362229102167182,True,High-High,FDR-significant,599209.4368379862,4782438.505608712
5370101.02,2021S05075370101.02,0101.02,64.8969,35,Hamilton,101.02,1565.0,1365.0,123000.0,87.22044728434504,11847.073404349387,11.847073404349386,1.1790262584477678,0.001,1,0.006222222222222222,True,High-High,FDR-significant,591301.8275916614,4777477.840019984
5370144.01,2021S05075370144.01,0144.01,61.0528,35,Hamilton,144.01,1695.0,1480.0,149000.0,87.31563421828909,16590.809980174377,16.590809980174377,1.2229048352387706,0.001,1,0.006222222222222222,True,High-High,FDR-significant,580031.8906967307,4807730.6497240495
5370144.02,2021S05075370144.02,0144.02,34.0386,35,Hamilton,144.02,590.0,545.0,130000.0,92.37288135593221,8956.43959309202,8.95643959309202,1.440450939360391,0.002,1,0.009362229102167182,True,High-High,FDR-significant,586103.4579472545,4802074.87408835
5350430.08,2021S05075350430.08,0430.08,6.6993,35,Toronto,430.08,1720.0,1410.0,112000.0,81.97674418604652,2708.518644004816,2.708518644004816,0.735318822177446,0.002,1,0.009362229102167182,True,High-High,FDR-significant,638230.8065509184,4868612.522441343
5350013.01,2021S05075350013.01,0013.01,0.3431,35,Toronto,13.01,1610.0,425.0,91000.0,26.39751552795031,214.8641781680188,0.2148641781680188,6.705025320615215,0.001,3,0.006222222222222222,True,Low-Low,FDR-significant,630963.5408039726,4833794.613238601
5350013.02,2021S05075350013.02,0013.02,0.4225,35,Toronto,13.02,2255.0,730.0,100000.0,32.37250554323725,440.5800833327167,0.4405800833327167,5.849070459518018,0.001,3,0.006222222222222222,True,Low-Low,FDR-significant,631096.8032441859,4833428.994122211
5350012.03,2021S05075350012.03,0012.03,0.4664,35,Toronto,12.03,2150.0,635.0,98000.0,29.53488372093023,666.2967769768088,0.6662967769768088,6.154770080809386,0.001,3,0.006222222222222222,True,Low-Low,FDR-significant,630064.0589985283,4833372.042812734
5350012.04,2021S05075350012.04,0012.04,0.2407,35,Toronto,12.04,1340.0,375.0,95000.0,27.985074626865668,853.1532148557825,0.8531532148557825,6.2157004175395905,0.001,3,0.006222222222222222,True,Low-Low,FDR-significant,630248.1969606759,4833036.692818468
5350516.48,2021S05075350516.48,0516.48,0.9083,35,Toronto,516.48,1585.0,1185.0,130000.0,74.76340694006309,2101.458202687059,2.1014582026870587,0.195088095553935,0.039,1,0.07738582677165355,False,Not Significant,Not significant,602475.257603982,4823222.5013225665
5350576.52,2021S05075350576.52,0576.52,0.8951,35,Toronto,576.52,2230.0,1755.0,124000.0,78.69955156950674,2572.380575551728,2.572380575551728,0.30798459806700057,0.113,1,0.1604281690140845,False,Not Significant,Not significant,593635.2743167091,4838692.037166838
5350576.53,2021S05075350576.53,0576.53,0.8335,35,Toronto,576.53,1675.0,1220.0,125000.0,72.83582089552239,2807.4435856492582,2.807443585649258,0.12824233208907332,0.049,1,0.09068298653610771,False,Not Significant,Not significant,594137.0459554902,4839160.758964434
5350576.54,2021S05075350576.54,0576.54,2.5906,35,Toronto,576.54,2210.0,1670.0,112000.0,75.56561085972851,9147.432211029789,9.14743221102979,0.28946759692992924,0.007,1,0.023109170305676857,True,High-High,FDR-significant,599131.5346383216,4846985.286592222
5350400.17,2021S05075350400.17,0400.17,0.5975,35,Toronto,400.17,1425.0,1000.0,94000.0,70.17543859649122,2988.4837908292984,2.9884837908292985,0.021355786861434113,0.185,1,0.22984387838948234,False,Not Significant,Not significant,638936.9833356348,4855463.787704804
