CTUID,DGUID,CTNAME,LANDAREA,PRUID,CMA_Name,CT_Name,Total_Commuters,Car_Drivers,Median_Income,Pct_Car_Commute,Distance_to_Transit_m,Dist_KM,local_I,local_p,lisa_quad,local_p_fdr,lisa_sig_fdr,lisa_cluster,sig_label,ols_pred,ols_resid,centroid_x,centroid_y,spatial_block,spatial_role,xgb_spatial_pred,xgb_spatial_resid,xgb_full_pred,xgb_full_resid
5350411.07,2021S05075350411.07,0411.07,1.757,35,Toronto,411.07,1555.0,1315.0,141000.0,84.56591639871382,1651.5727349942927,1.6515727349942926,0.5871294603299638,0.06,1,0.10475750577367204,False,Not Significant,Not significant,75.64330720800719,8.922609190706638,619316.9728932759,4855756.764085047,2,test,80.51485,4.051069596956012,83.3806,1.1853164231278868
5350412.12,2021S05075350412.12,0412.12,1.031,35,Toronto,412.12,1325.0,1065.0,115000.0,80.37735849056604,703.2939406273418,0.7032939406273419,0.7078900844343915,0.009,1,0.02811570247933884,True,High-High,FDR-significant,69.00002400272267,11.37733448784337,616271.3432334233,4849891.902596438,2,test,74.47498,5.902375275234007,81.750244,-1.3728856500589615
5350412.13,2021S05075350412.13,0412.13,2.5743,35,Toronto,412.13,1685.0,1385.0,97000.0,82.19584569732937,1269.5544750191932,1.2695544750191932,0.6531295363331063,0.024,1,0.055317073170731715,False,Not Significant,Not significant,65.90250891753583,16.29333677979355,616577.8912655759,4850742.989421648,2,test,69.37885,12.816992853091094,78.07852,4.11732396881375
5350411.08,2021S05075350411.08,0411.08,29.5415,35,Toronto,411.08,2805.0,1945.0,75500.0,69.34046345811052,1279.393256703371,1.279393256703371,0.0007659248377268261,0.037,1,0.07429482071713146,False,Not Significant,Not significant,61.384131927138,7.95633153097252,619667.6815866698,4851530.16663093,2,test,64.99623,4.344232379008957,68.5855,0.7549608335988012
5350411.09,2021S05075350411.09,0411.09,1.3956,35,Toronto,411.09,1930.0,1465.0,130000.0,75.90673575129534,839.9562668073958,0.8399562668073958,0.2639974551950972,0.053,1,0.09631730769230769,False,Not Significant,Not significant,72.32864597844251,3.5780897728528345,621563.5230838779,4854748.339810494,2,test,79.16696,-3.2602259186265314,81.19437,-5.287630703782781
5350412.14,2021S05075350412.14,0412.14,2.2135,35,Toronto,412.14,1255.0,1080.0,180000.0,86.05577689243027,3651.4537397380013,3.651453739738001,1.1690971047533005,0.001,1,0.006222222222222222,True,High-High,FDR-significant,86.3174178292847,-0.2616409368544197,611717.6642479278,4851315.672873453,2,test,82.79114,3.2646391971177735,87.10281,-1.0470368282728515
5350412.15,2021S05075350412.15,0412.15,4.4754,35,Toronto,412.15,1800.0,1570.0,134000.0,87.22222222222223,2681.8827788553235,2.6818827788553237,1.1985818558002215,0.001,1,0.006222222222222222,True,High-High,FDR-significant,75.4336041238624,11.788618098359834,613193.0016240543,4851169.380922946,2,test,77.07544,10.146782769097229,84.448006,2.7742165459526973
5350411.12,2021S05075350411.12,0411.12,1.2772,35,Toronto,411.12,2075.0,1690.0,138000.0,81.44578313253012,2171.0293191992896,2.1710293191992895,0.5667978418572162,0.006,1,0.020712328767123287,True,High-High,FDR-significant,75.64909797868792,5.796685153842205,617805.8069992482,4857149.595241736,2,test,81.69347,-0.24768305399331325,82.659096,-1.213312631630032
5350128.04,2021S05075350128.04,0128.04,0.162,35,Toronto,128.04,1240.0,515.0,80000.0,41.53225806451613,473.42413095887986,0.47342413095887986,3.021655622171769,0.003,3,0.01249586776859504,True,Low-Low,FDR-significant,61.34255186126161,-19.810293796745484,629619.267074666,4839528.028975506,6,train,,,39.23736,2.2948999712544094
5350363.06,2021S05075350363.06,0363.06,0.821,35,Toronto,363.06,2275.0,1310.0,72500.0,57.58241758241758,416.6663752786512,0.4166663752786512,0.484922939736881,0.052,3,0.09484197828709288,False,Not Significant,Not significant,59.692454249847124,-2.110036667429547,640977.2047052927,4848675.042259329,5,train,,,55.607666,1.9747515667925768
5350363.07,2021S05075350363.07,0363.07,2.2422,35,Toronto,363.07,1465.0,750.0,55600.0,51.19453924914675,1867.2148638828776,1.8672148638828776,0.6375781431379512,0.067,3,0.11144554455445546,False,Not Significant,Not significant,57.9127298967855,-6.71819064763875,642406.7879379246,4849129.286059293,5,train,,,54.213127,-3.0185878870837186
5350378.23,2021S05075350378.23,0378.23,1.5314,35,Toronto,378.23,1080.0,710.0,91000.0,65.74074074074075,1310.1683350383232,1.3101683350383233,0.07997261895976909,0.156,3,0.2031627906976744,False,Not Significant,Not significant,64.68807262569067,1.052668115050082,639299.535706228,4851021.724946913,5,train,,,64.222984,1.5177564267759038
5350378.24,2021S05075350378.24,0378.24,2.5129,35,Toronto,378.24,1525.0,1000.0,68500.0,65.57377049180327,1656.4948211903452,1.6564948211903452,0.08573068429106938,0.134,3,0.18252972972972975,False,Not Significant,Not significant,60.3722192874189,5.201551204384373,640445.583156172,4851599.249495744,5,train,,,65.065254,0.5085162803774921
5350400.13,2021S05075350400.13,0400.13,1.2779,35,Toronto,400.13,2020.0,1540.0,105000.0,76.23762376237624,3649.922173928404,3.649922173928404,0.1647633923275665,0.203,1,0.24693161705551087,False,Not Significant,Not significant,70.51160645535259,5.726017307023653,639842.5490299227,4856491.469306329,5,train,,,77.15119,-0.9135679490495363
5350400.14,2021S05075350400.14,0400.14,1.0543,35,Toronto,400.14,1760.0,1360.0,102000.0,77.27272727272727,3791.979445860507,3.791979445860507,0.11428112224673258,0.275,1,0.31547799696509865,False,Not Significant,Not significant,70.05391069128625,7.218816581441018,639935.8076689079,4855394.530205666,5,train,,,76.39055,0.8821785666725788
5350401.17,2021S05075350401.17,0401.17,1.1107,35,Toronto,401.17,800.0,635.0,100000.0,79.375,1850.847379568741,1.850847379568741,0.3685061355886018,0.068,1,0.11236721311475412,False,Not Significant,Not significant,67.2485557087597,12.126444291240304,636834.0836920959,4855455.450633172,5,train,,,78.61909,0.7559127807617188
5350573.09,2021S05075350573.09,0573.09,1.3795,35,Toronto,573.09,2250.0,1700.0,111000.0,75.55555555555556,2197.827580053994,2.197827580053994,0.2027848998879654,0.074,1,0.1186511134676564,False,Not Significant,Not significant,69.99259413475356,5.562961420801997,597550.4530394631,4837137.714549422,7,train,,,76.22416,-0.6686036851670991
5350528.39,2021S05075350528.39,0528.39,5.927,35,Toronto,528.39,2060.0,1690.0,151000.0,82.03883495145631,1762.7602348355342,1.7627602348355342,0.5965072418037202,0.013,1,0.036265682656826566,True,High-High,FDR-significant,77.88704802163804,4.151786929818272,600322.5905332702,4829675.742032264,4,train,,,79.51438,2.5244535427649026
5350528.40,2021S05075350528.40,0528.40,3.5052,35,Toronto,528.4,1960.0,1655.0,150000.0,84.43877551020408,3095.2865775473933,3.0952865775473932,0.5840390836630953,0.039,1,0.07738582677165355,False,Not Significant,Not significant,79.3128131633514,5.125962346852688,602618.007874339,4830296.017488749,4,train,,,80.91517,3.52360674799705
5350528.42,2021S05075350528.42,0528.42,1.1624,35,Toronto,528.42,1625.0,1245.0,129000.0,76.61538461538461,2400.8156532045577,2.4008156532045577,0.21364865402374483,0.071,1,0.11530827067669172,False,Not Significant,Not significant,74.0348284069511,2.5805562084335065,605644.6876647582,4828719.785409396,4,train,,,77.703705,-1.0883202185997618
5350528.43,2021S05075350528.43,0528.43,0.7165,35,Toronto,528.43,1415.0,1070.0,116000.0,75.61837455830388,2423.527152555655,2.423527152555655,0.16257037574267286,0.142,1,0.19034042553191488,False,Not Significant,Not significant,71.3233726017707,4.295001956533184,606783.6313950589,4827564.103383741,4,train,,,76.91681,-1.2984345237273658
5350412.18,2021S05075350412.18,0412.18,6.7537,35,Toronto,412.18,2345.0,2035.0,172000.0,86.78038379530916,3166.6224897980956,3.1666224897980957,0.8362542653140048,0.009,1,0.02811570247933884,True,High-High,FDR-significant,84.0362408563689,2.744142938940257,615410.1793438742,4852336.312769062,2,test,82.557686,4.222697943258382,87.19006,-0.409679681253337
5350576.20,2021S05075350576.20,0576.20,0.9731,35,Toronto,576.2,2660.0,1980.0,114000.0,74.43609022556392,7171.283785449225,7.1712837854492255,0.18344213484218255,0.037,1,0.07429482071713146,False,Not Significant,Not significant,76.73268506477608,-2.296594839212162,600795.5541137231,4845023.954904829,7,train,,,76.88506,-2.4489729458228027
5350576.22,2021S05075350576.22,0576.22,1.7326,35,Toronto,576.22,2760.0,2065.0,119000.0,74.81884057971014,7619.727700616398,7.619727700616398,0.2242074745958812,0.017,1,0.04378875638841567,True,High-High,FDR-significant,78.33701729874312,-3.5181767190329793,601855.3351661299,4846285.252921357,7,train,,,79.22894,-4.410102291383609
5350010.01,2021S05075350010.01,0010.01,0.2476,35,Toronto,10.01,1430.0,620.0,110000.0,43.35664335664335,360.4250661717214,0.36042506617172143,3.4057377388245773,0.001,3,0.006222222222222222,True,Low-Low,FDR-significant,67.52534915864457,-24.16870580200122,627777.0710791494,4833350.717665432,6,train,,,39.097893,4.258750595412884
5350010.02,2021S05075350010.02,0010.02,0.5382,35,Toronto,10.02,1980.0,720.0,97000.0,36.36363636363637,371.0647414510495,0.3710647414510495,4.189044211681652,0.001,3,0.006222222222222222,True,Low-Low,FDR-significant,64.79906786829459,-28.43543150465822,628464.0574805407,4833485.8295684485,6,train,,,32.146996,4.216640819202773
5350400.15,2021S05075350400.15,0400.15,2.1349,35,Toronto,400.15,1415.0,1165.0,130000.0,82.3321554770318,1723.345346983034,1.723345346983034,0.4574656431705409,0.038,1,0.076,False,Not Significant,Not significant,73.41354181764837,8.918613659383439,640871.9402515814,4859160.861292434,5,train,,,80.38385,1.9483053793755545
5350400.16,2021S05075350400.16,0400.16,2.2278,35,Toronto,400.16,1595.0,1270.0,148000.0,79.62382445141067,2679.007242861451,2.679007242861451,0.36534466114829706,0.078,1,0.12246728971962617,False,Not Significant,Not significant,78.38013967649367,1.243684774917,641172.7653157893,4858137.013610944,5,train,,,81.29435,-1.6705252189994866
5350403.04,2021S05075350403.04,0403.04,2.0663,35,Toronto,403.04,1035.0,845.0,127000.0,81.64251207729468,3043.555580447275,3.043555580447275,0.6219967148471334,0.007,1,0.023109170305676857,True,High-High,FDR-significant,74.4027433207071,7.23976875658758,630861.2207127665,4859351.873379157,2,test,82.015915,-0.3734028396975049,82.04653,-0.4040195999514111
5350403.05,2021S05075350403.05,0403.05,4.0757,35,Toronto,403.05,1090.0,900.0,132000.0,82.56880733944955,3491.2829973608227,3.491282997360823,0.6997652636999441,0.003,1,0.01249586776859504,True,High-High,FDR-significant,76.00619561853773,6.562611720911818,634245.0577869444,4860548.153969762,5,train,,,83.131226,-0.562418246487951
5350403.07,2021S05075350403.07,0403.07,2.3159,35,Toronto,403.07,2760.0,2290.0,114000.0,82.97101449275362,1857.130466110003,1.857130466110003,0.6727309621797861,0.008,1,0.02568152866242038,True,High-High,FDR-significant,70.20633902492371,12.764675467829917,636355.873319399,4860753.460662072,5,train,,,80.822716,2.148298733476281
5350805.09,2021S05075350805.09,0805.09,1.1171,35,Toronto,805.09,1845.0,1450.0,125000.0,78.59078590785907,2999.777765003776,2.9997777650037762,0.38666320253919373,0.045,1,0.08580075662042876,False,Not Significant,Not significant,73.92754135731857,4.663244550540497,658179.6596057492,4859746.05164241,3,train,,,80.21219,-1.6214028128440532
5350805.10,2021S05075350805.10,0805.10,1.1825,35,Toronto,805.1,2265.0,1890.0,118000.0,83.44370860927152,2345.0226924530402,2.3450226924530404,0.5112333359731103,0.051,1,0.09358252427184464,False,Not Significant,Not significant,71.64839891218169,11.795309697089834,657050.21875804,4859184.847008369,3,train,,,80.2047,3.2390119539980873
5350631.02,2021S05075350631.02,0631.02,2.395,35,Toronto,631.02,2080.0,1815.0,162000.0,87.25961538461539,4261.389339263567,4.261389339263567,1.1971829170064037,0.001,1,0.006222222222222222,True,High-High,FDR-significant,83.27354037388517,3.986075010730218,591060.449809998,4832330.431764387,7,train,,,85.99298,1.2666344275841368
5350612.15,2021S05075350612.15,0612.15,4.0516,35,Toronto,612.15,2055.0,1645.0,142000.0,80.04866180048663,4326.790992298466,4.326790992298466,0.5158865075287039,0.008,1,0.02568152866242038,True,High-High,FDR-significant,79.1394791138886,0.9091826865980295,599123.9915350925,4808406.940856294,4,train,,,81.263664,-1.2150024451188415
5320001.00,2021S05075320001.00,0001.00,6.6328,35,Oshawa,1.0,1285.0,1045.0,68000.0,81.32295719844358,2533.5246954059303,2.5335246954059305,0.5074177132195643,0.022,1,0.052137931034482755,False,Not Significant,Not significant,61.34394580836167,19.979011390081908,674612.6643129282,4860496.427704505,3,train,,,80.101456,1.2215015099670126
5370223.10,2021S05075370223.10,0223.10,1.2507,35,Hamilton,223.1,1410.0,1160.0,139000.0,82.26950354609929,3853.799050816506,3.853799050816506,0.7425785602457927,0.003,1,0.01249586776859504,True,High-High,FDR-significant,77.92643743541826,4.343066110681022,597427.1536352749,4806202.707048975,0,train,,,82.33716,-0.06765465702571305
5320005.00,2021S05075320005.00,0005.00,1.1279,35,Oshawa,5.0,1215.0,885.0,52800.0,72.8395061728395,488.20620095325876,0.4882062009532588,0.054732062362671086,0.318,1,0.3540618556701031,False,Not Significant,Not significant,55.62914704113611,17.2103591317034,672078.2294896762,4862059.950612964,3,train,,,72.05327,0.7862377402223188
5320006.00,2021S05075320006.00,0006.00,1.448,35,Oshawa,6.0,1125.0,815.0,61600.0,72.44444444444444,606.8003342989153,0.6068003342989153,0.08019788794241949,0.141,1,0.18967259786476867,False,Not Significant,Not significant,57.629121102077995,14.815323342366447,672958.9897280829,4861543.099218347,3,train,,,73.58627,-1.1418287489149321
5320007.00,2021S05075320007.00,0007.00,1.5845,35,Oshawa,7.0,1995.0,1535.0,79000.0,76.94235588972431,1234.9887609954344,1.2349887609954344,0.09591432049405536,0.357,1,0.38833381294964026,False,Not Significant,Not significant,62.06711523319066,14.875240656533649,673167.9467556417,4862602.3056531465,3,train,,,77.73955,-0.7971918397678763
5320010.00,2021S05075320010.00,0010.00,1.3081,35,Oshawa,10.0,1490.0,950.0,45600.0,63.758389261744966,1488.8272088750507,1.4888272088750507,-0.17243262407150226,0.063,2,0.10763389830508474,False,Not Significant,Not significant,55.34083884552917,8.417550416215796,671687.5493035504,4862990.497422047,3,train,,,69.537575,-5.77918550632144
5320011.00,2021S05075320011.00,0011.00,1.9697,35,Oshawa,11.0,1705.0,1350.0,84000.0,79.17888563049853,2662.142489954344,2.662142489954344,0.29937717495128013,0.065,1,0.10981005586592178,False,Not Significant,Not significant,64.87340731542918,14.305478315069351,671176.4522774428,4864046.811353052,3,train,,,78.85955,0.3193351544243086
5320013.00,2021S05075320013.00,0013.00,5.2227,35,Oshawa,13.0,2005.0,1685.0,111000.0,84.03990024937656,4408.043879673675,4.408043879673675,0.5097992284582759,0.028,1,0.061356521739130435,False,Not Significant,Not significant,72.70697505819174,11.332925191184813,669096.5099693532,4865027.53395714,3,train,,,80.997246,3.042654460802339
5320103.00,2021S05075320103.00,0103.00,1.1593,35,Oshawa,103.0,845.0,625.0,74000.0,73.96449704142012,1000.9556313281948,1.0009556313281949,0.16685808976252098,0.093,1,0.14005577689243026,False,Not Significant,Not significant,60.72610227075401,13.238394770666105,665170.0910702767,4859786.0084246425,3,train,,,75.82213,-1.8576312544783207
5320104.00,2021S05075320104.00,0104.00,1.7036,35,Oshawa,104.0,1400.0,1155.0,100000.0,82.5,2729.360716529304,2.729360716529304,0.4753587090636975,0.027,1,0.060301329394387,False,Not Significant,Not significant,68.32746361620843,14.172536383791567,664604.0538644207,4861432.652679646,3,train,,,79.43155,3.068450927734375
5350001.00,2021S05075350001.00,0001.00,6.8192,35,Toronto,1.0,180.0,95.0,137000.0,52.77777777777778,1481.315314038717,1.481315314038717,1.3506395197813894,0.004,3,0.01566839378238342,True,Low-Low,FDR-significant,74.59133667829855,-21.813558900520768,634351.1392052943,4833906.438561689,6,train,,,55.043358,-2.265580071343315
5350002.00,2021S05075350002.00,0002.00,3.3926,35,Toronto,2.0,115.0,30.0,85000.0,26.08695652173913,2315.988437320794,2.315988437320794,-0.0,0.001,3,0.006222222222222222,True,Low-Low,FDR-significant,64.65901235864176,-38.572055836902635,630561.7872513059,4831298.327604314,6,train,,,36.745445,-10.658488729725715
5350003.00,2021S05075350003.00,0003.00,0.9455,35,Toronto,3.0,195.0,120.0,89000.0,61.53846153846154,2368.0321079403143,2.3680321079403144,0.5753610551433443,0.002,3,0.009362229102167182,True,Low-Low,FDR-significant,65.5658038174805,-4.02734227901896,624982.5279190926,4832528.341173526,6,train,,,51.87179,9.66666969886193
5350004.00,2021S05075350004.00,0004.00,0.3404,35,Toronto,4.0,2015.0,500.0,50000.0,24.81389578163772,1661.1413091479133,1.6611413091479132,4.743505043497598,0.001,3,0.006222222222222222,True,Low-Low,FDR-significant,56.479622825457184,-31.665727043819466,625847.6840178306,4832792.723722919,6,train,,,27.95132,-3.137424866555641
5350005.00,2021S05075350005.00,0005.00,0.3764,35,Toronto,5.0,1895.0,590.0,66000.0,31.13456464379947,877.0586170700798,0.8770586170700798,5.087890879622511,0.001,3,0.006222222222222222,True,Low-Low,FDR-significant,58.888190965600685,-27.753626321801214,626593.4085087476,4833076.634617455,6,train,,,30.296747,0.8378174361578701
5350009.00,2021S05075350009.00,0009.00,0.1032,35,Toronto,9.0,75.0,15.0,45200.0,20.0,300.6748371966646,0.3006748371966646,5.666154841756191,0.015,3,0.03951219512195121,True,Low-Low,FDR-significant,53.797373609115326,-33.797373609115326,627543.1694628173,4833459.93781628,6,train,,,21.707733,-1.707733154296875
5350014.00,2021S05075350014.00,0014.00,0.4727,35,Toronto,14.0,490.0,135.0,92000.0,27.55102040816326,237.00186616410915,0.23700186616410915,7.53387205364003,0.001,3,0.006222222222222222,True,Low-Low,FDR-significant,63.58082902142655,-36.02980861326329,630473.8762808454,4834114.946766073,6,train,,,27.28745,0.2635696177579874
5350015.00,2021S05075350015.00,0015.00,0.286,35,Toronto,15.0,1125.0,300.0,94000.0,26.666666666666668,258.94660887263933,0.2589466088726393,7.398886502544066,0.001,3,0.006222222222222222,True,Low-Low,FDR-significant,64.0292176470698,-37.36255098040313,631015.2033428309,4834347.863287669,6,train,,,28.64809,-1.9814236958821603
