"COL0","COL1","COL2","COL3","COL4","COL5","COL6"
"5350516.28","535","Toronto","0516.28",1190.00,1000.00,133000.00
"5350516.29","535","Toronto","0516.29",1250.00,915.00,114000.00
"5350516.30","535","Toronto","0516.30",1585.00,1310.00,156000.00
"5350516.31","535","Toronto","0516.31",695.00,580.00,131000.00
"5350516.32","535","Toronto","0516.32",1580.00,1280.00,144000.00
"5350516.37","535","Toronto","0516.37",2535.00,1855.00,81000.00
"5350516.38","535","Toronto","0516.38",1920.00,1490.00,114000.00
"5350516.39","535","Toronto","0516.39",1525.00,1195.00,137000.00
"5350516.40","535","Toronto","0516.40",2075.00,1630.00,140000.00
"5350516.41","535","Toronto","0516.41",1615.00,1240.00,116000.00
"5350516.43","535","Toronto","0516.43",1080.00,805.00,108000.00
"5350516.44","535","Toronto","0516.44",1375.00,1020.00,120000.00
"5350516.47","535","Toronto","0516.47",1515.00,1240.00,144000.00
"5350516.48","535","Toronto","0516.48",1585.00,1185.00,130000.00
"5350516.50","535","Toronto","0516.50",1110.00,835.00,131000.00
"5350516.51","535","Toronto","0516.51",1405.00,1150.00,130000.00
"5350516.52","535","Toronto","0516.52",1450.00,1135.00,134000.00
"5350516.53","535","Toronto","0516.53",660.00,520.00,178000.00
"5350516.54","535","Toronto","0516.54",1095.00,890.00,99000.00
"5350516.55","535","Toronto","0516.55",1395.00,1100.00,128000.00
"5350517.00","535","Toronto","0517.00",530.00,405.00,122000.00
"5350518.00","535","Toronto","0518.00",1245.00,880.00,73500.00
"5350519.00","535","Toronto","0519.00",1355.00,995.00,101000.00
"5350520.01","535","Toronto","0520.01",1735.00,1240.00,94000.00
"5350520.02","535","Toronto","0520.02",2330.00,1765.00,88000.00
"5350520.05","535","Toronto","0520.05",1090.00,815.00,89000.00
"5350520.07","535","Toronto","0520.07",1280.00,800.00,73000.00
"5350520.08","535","Toronto","0520.08",2030.00,1430.00,95000.00
"5350520.09","535","Toronto","0520.09",1960.00,1405.00,78000.00
"5350520.11","535","Toronto","0520.11",1480.00,1010.00,82000.00
"5350520.12","535","Toronto","0520.12",1005.00,605.00,76500.00
"5350521.01","535","Toronto","0521.01",1690.00,1065.00,79500.00
"5350521.02","535","Toronto","0521.02",1150.00,830.00,105000.00
"5350521.03","535","Toronto","0521.03",1730.00,1145.00,99000.00
"5350521.04","535","Toronto","0521.04",1915.00,1385.00,91000.00
"5350521.05","535","Toronto","0521.05",1595.00,1100.00,72500.00
"5350521.06","535","Toronto","0521.06",1565.00,990.00,70500.00
"5350522.00","535","Toronto","0522.00",1790.00,1390.00,96000.00
"5350523.00","535","Toronto","0523.00",1785.00,1205.00,77000.00
"5350524.01","535","Toronto","0524.01",1560.00,1055.00,94000.00
"5350524.02","535","Toronto","0524.02",1085.00,730.00,75000.00
"5350525.01","535","Toronto","0525.01",1090.00,760.00,84000.00
"5350525.02","535","Toronto","0525.02",1280.00,920.00,68000.00
"5350526.01","535","Toronto","0526.01",1905.00,1240.00,81000.00
"5350526.02","535","Toronto","0526.02",1100.00,765.00,81000.00
"5350527.02","535","Toronto","0527.02",1250.00,925.00,97000.00
"5350527.04","535","Toronto","0527.04",1655.00,1285.00,116000.00
"5350527.05","535","Toronto","0527.05",1555.00,1210.00,99000.00
"5350527.06","535","Toronto","0527.06",1175.00,905.00,109000.00
"5350527.07","535","Toronto","0527.07",1645.00,1180.00,92000.00
"5350527.08","535","Toronto","0527.08",1300.00,990.00,114000.00
"5350527.09","535","Toronto","0527.09",1025.00,745.00,112000.00
"5350527.10","535","Toronto","0527.10",1165.00,810.00,67500.00
"5350527.11","535","Toronto","0527.11",3025.00,2145.00,73500.00
"5350527.12","535","Toronto","0527.12",1380.00,1045.00,94000.00
"5350527.13","535","Toronto","0527.13",1140.00,795.00,79500.00
"5350528.01","535","Toronto","0528.01",1565.00,1150.00,114000.00
"5350528.11","535","Toronto","0528.11",1180.00,855.00,73000.00
"5350528.12","535","Toronto","0528.12",1515.00,1170.00,135000.00
"5350528.13","535","Toronto","0528.13",905.00,680.00,149000.00
"5350528.15","535","Toronto","0528.15",1260.00,990.00,127000.00
